F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,F21,F22,F23,F24,F25,F26,F27,F28,F29,F30,F31,F32,F33,F34,F35,Classe
1,11,39,11,39,1,11.0,39.0,0,7,0,28,1,1,13,0.7601675026734266,0.19595917942265428,0.04,10,38,0,1,0.3584539709124763,0.0,0.0,14.0,0.0,4.694855340334422,1.0,23.04166666666665,-0.56,14,50,6,1.1936404332857726,Humana
0,30,20,3,4,34,1.6666666666666667,1.1764705882352942,4,0,26,1,18,17,17,0.9709505941661296,3.7000000000000006,0.7,12,3,17,17,0.7369655941662062,0.816496580927726,0.7058823529411764,0.8030553898602969,1.7226252254053394,6.416362308254196,4.76886716872296,43.749010357167805,0.2,24,49,16,3.6673863476819224,Humana
0,27,23,2,3,38,1.35,1.2105263157894737,4,0,29,1,20,19,17,0.9953784385316868,4.225115383039852,0.78,7,4,19,19,0.8889686876112561,0.4769696007084729,0.5210260492953508,0.5037662231894487,1.5543870528023,6.100527389522975,4.492912561411043,40.089511308225056,0.08,24,49,16,3.552452511207945,Humana
1,21,29,3,6,31,1.3125,1.8125,3,1,21,3,16,16,17,0.9814538947451146,3.122563049803799,0.64,5,13,15,16,0.7858751946471527,0.582961190818051,1.3331705629813464,1.0588171466310885,2.6790957087285867,5.79832173645218,10.684371547548228,36.767893796875946,-0.16,31,50,24,4.354552444952287,Aleatória
1,17,33,3,8,21,1.5454545454545454,3.0,2,2,10,5,11,11,18,0.924818704684491,1.6144348856488455,0.44,6,22,10,11,0.5994620704162712,0.7820295697311479,2.04494943258218,1.7104443383842527,1.8066291930923009,4.685125822130923,6.246193622522261,26.01343851711664,-0.32,30,50,20,4.151400749996932,Aleatória
1,23,27,4,5,29,1.5333333333333334,1.8,1,1,18,1,15,15,18,0.9953784385316868,2.705549851693737,0.6,8,12,14,15,0.8889686876112561,0.8844332774281067,1.1075498483890769,1.0110500592068732,1.6699527206654177,5.588997543676208,5.3024574669187166,34.85487772104271,-0.08,30,50,27,4.588354347173232,Aleatória
1,23,27,5,7,24,1.9166666666666667,2.076923076923077,3,2,16,2,12,13,18,0.9953784385316868,2.3430749027719964,0.5,11,14,12,12,0.8889686876112561,1.2555432644432802,1.8589301497837805,1.6,1.640625,5.928410724761777,4.931640625,38.5785879940677,-0.08,29,49,25,4.501397825434102,Aleatória
0,27,23,6,4,27,1.9285714285714286,1.6428571428571428,1,0,15,2,14,14,18,0.9953784385316868,2.3846173697262216,0.56,13,9,14,13,0.8889686876112561,1.3343958351621,0.8949974347244049,1.1450871101343856,1.995134288698771,5.05839214391822,7.30610607276416,28.811924804186788,0.08,30,48,31,4.8385668472672965,Aleatória
-1,25,25,5,4,29,1.6666666666666667,1.6666666666666667,2,0,20,1,15,15,17,0.9999999997114609,2.891366458960192,0.6,10,10,15,14,1.0,1.1925695879998874,1.0749676997731397,1.1352924243950933,1.6351045767521495,6.115219209977728,4.405469678953626,40.65289256198342,0.0,32,48,26,4.561286684176787,Aleatória
1,20,30,5,5,30,1.3333333333333333,1.875,5,1,22,0,15,16,17,0.9709505941661296,3.1425467379181495,0.62,5,14,15,15,0.7369655941662062,1.0110500592068734,1.165922381636102,1.1267257546176117,1.8830975712574607,6.326276799443863,5.628597151303412,42.88380436878762,-0.2,24,49,20,3.985973783161348,Aleatória
