F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,F21,F22,F23,F24,F25,F26,F27,F28,F29,F30,F31,F32,F33,F34,F35,Classe
-1.0,25.0,25.0,5.0,4.0,24.0,1.9230769230769231,2.083333333333333,0.0,0.0,12.0,1.0,13.0,12.0,18.0,0.9999999997114608,1.9313207915827968,0.5,12.0,13.0,12.0,12.0,1.0,1.206491318566009,1.114924013354971,1.1661903789690602,0.907933686048576,4.722490158748122,2.8114186851211067,26.3325762421925,0.0,30.0,47.0,25.0,4.507151358183894,0
1.0,24.0,26.0,3.0,4.0,34.0,1.3333333333333333,1.5294117647058822,2.0,0.0,25.0,1.0,18.0,17.0,17.0,0.9988455357066628,3.5958309192730407,0.7,6.0,9.0,17.0,17.0,0.9434164716336324,0.5773502691896257,0.9150793638884732,0.766651877999928,1.7624563572654584,6.234856438605076,5.251736111111108,41.81077657132911,-0.04,28.0,48.0,21.0,4.197049999347146,1
0.0,27.0,23.0,2.0,4.0,38.0,1.4210526315789471,1.15,4.0,0.0,30.0,2.0,19.0,20.0,17.0,0.9953784385316868,4.323378308684077,0.78,8.0,3.0,19.0,19.0,0.8889686876112561,0.4937279747182557,0.653834841531101,0.5969459859909136,2.695937669374453,6.262117697523025,11.486996364428586,41.88746455032644,0.08,21.0,46.0,10.0,2.9314903608422926,1
1.0,22.0,28.0,4.0,5.0,24.0,1.8333333333333333,2.1538461538461537,1.0,1.0,14.0,1.0,12.0,13.0,17.0,0.9895875209335164,2.090454496036687,0.5,10.0,15.0,12.0,12.0,0.8365012677171205,0.9860132971832696,1.511298669568346,1.296148139681572,0.8817334283548109,5.536772377167793,2.2959183673469394,35.02780556006472,-0.12,28.0,47.0,24.0,4.4250983688183,1
-1.0,25.0,25.0,3.0,3.0,35.0,1.3888888888888888,1.3888888888888888,4.0,0.0,27.0,0.0,18.0,18.0,16.0,0.9999999997114608,3.85766768916142,0.72,7.0,7.0,17.0,18.0,1.0,0.7556372504853025,0.6781419786518724,0.7179359990733382,1.5189176983514376,6.356619211821818,3.6452006167306097,43.11758199626874,0.0,28.0,50.0,18.0,3.846143272171575,1
0.0,28.0,22.0,7.0,4.0,25.0,2.1538461538461537,1.6923076923076923,0.0,0.0,12.0,3.0,13.0,13.0,18.0,0.9895875209335164,2.1094074997496333,0.52,15.0,9.0,13.0,12.0,0.8365012677171205,1.5613679330911108,0.9101661204768638,1.298611001241087,2.355677958077737,4.542715417997652,9.408938134810713,22.81035125468052,0.12,29.0,48.0,28.0,4.664653803789035,0
1.0,22.0,28.0,5.0,4.0,27.0,1.5714285714285714,2.0,3.0,0.0,17.0,1.0,14.0,14.0,18.0,0.9895875209335164,2.49927989629013,0.56,8.0,14.0,13.0,14.0,0.8365012677171205,1.178030178747903,1.1338934190276817,1.175862688082452,1.343577747213777,5.816892719525646,3.5439196089377862,37.66547249248352,-0.12,28.0,50.0,22.0,4.294663586209604,0
1.0,23.0,27.0,5.0,6.0,23.0,1.9166666666666667,2.25,2.0,2.0,14.0,1.0,12.0,12.0,18.0,0.9953784385316868,2.032141727340886,0.48,11.0,15.0,12.0,11.0,0.8889686876112561,1.3202482931462385,1.7380544678845176,1.552328000849763,1.1977300749192037,5.941752288321191,3.0693137556162737,39.25398521457655,-0.08,27.0,44.0,24.0,4.414441303694972,1
0.0,30.0,20.0,7.0,4.0,21.0,2.727272727272727,1.818181818181818,1.0,0.0,10.0,3.0,11.0,11.0,17.0,0.9709505941661296,1.6632498309033434,0.44,19.0,9.0,10.0,11.0,0.7369655941662062,2.2193737483152187,0.9359663764533636,1.7627926754241194,1.67304206939691,4.577741109025575,4.911696468990494,24.37719192317225,0.2,32.0,50.0,25.0,4.398030705821852,0
1.0,22.0,28.0,7.0,9.0,13.0,3.142857142857143,4.0,0.0,2.0,4.0,2.0,7.0,7.0,17.0,0.9895875209335164,0.8009993757800314,0.28,15.0,21.0,7.0,6.0,0.8365012677171205,2.231499907401901,2.7774602993176543,2.55550625999976,0.7646304326184826,3.18940725074819,2.28951171875,12.865883918632342,-0.12,27.0,35.0,22.0,4.107922489127366,0
